,dem_to_rep_ratio,stay.at.home,X.50.gatherings,X.500.gatherings,public.schools,restaurant.dine.in,entertainment.gym,Total!!Male,Total!!Female,Total,Total!!Population of one race,Total!!Population of one race!!White,Total!!Population of one race!!Black or African American,Total!!Population of one race!!American Indian and Alaska Native,mob_retail,mob_grocery,mob_parks,mob_transit,mob_workplace,mob_residential,0-17,18-44,45-64,65-74,75+,All Asian,Pac Island,Other Race,num_hospitals_pt,num_licensed_beds_pt,num_staffed_beds_pt,num_icu_beds_pt,adult_icu_beds_pt,pedi_icu_beds_pt,potential_increase_in_bed_capac_pt,bed_utilization_pt,avg_ventilator_usage_pt,label_2,label,cases_total,deaths_total,cases_per_capita,deaths_per_capita,case_fatality_rate,num_hospitals_pt,num_licensed_beds_pt,num_staffed_beds_pt,num_icu_beds_pt,adult_icu_beds_pt,pedi_icu_beds_pt,potential_increase_in_bed_capac_pt,bed_utilization_pt,avg_ventilator_usage_pt
14,-0.38291104756647026,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.38568203823150643,-0.3787917160936029,-0.3822205843279498,-0.3821868628696288,-0.41775579374659344,-0.22408276946646305,-0.2576601612613429,0.3172943556182595,0.3923756984306822,-2.074393726362861,1.1698186902603875,0.7207592776150448,-0.30393685849230184,-0.3792940392335226,-0.3791327097236168,-0.38911568722287454,-0.35759393947118356,-0.3598907611436385,-0.25920619976995823,-0.20095997611628771,-0.3013133479395569,0.010380892319550564,2.0041211173273763,1.8812672397115187,0.545033518025412,0.545033518025412,-0.4662810237024524,1.1430510635000335,-0.2504279691570186,0.17929620533091323,3,0,41,2,0.000742202,3.6200000000000006e-05,0.048780488,0.010380892319550564,2.0041211173273763,1.8812672397115187,0.545033518025412,0.545033518025412,-0.4662810237024524,1.1430510635000335,-0.2504279691570186,0.17929620533091323
18,-0.7014310491831388,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.31280138844044225,-0.31478796077542354,-0.3138613688884705,-0.3116735243426821,-0.2859539452994867,-0.32713496427789035,-0.22763679743730741,-0.20446224777561123,1.0308821576424687,1.0247867399380464,0.5515741079157894,0.32659079704629235,-0.46046370374787193,-0.3097959955078014,-0.3151304994135439,-0.31995134816843945,-0.2680428704373846,-0.303559546822468,-0.25564008425757634,-0.2028245410482493,-0.280075713867443,-0.2350972460542012,-0.2800895108444591,-0.040481682517770304,-0.6032464291571865,-0.6032464291571865,-0.4662810237024524,-0.5796072555449235,-0.17326696981248624,-0.31945427776773144,3,3,58,0,0.000692389,0.0,0,-0.2350972460542012,-0.2800895108444591,-0.040481682517770304,-0.6032464291571865,-0.6032464291571865,-0.4662810237024524,-0.5796072555449235,-0.17326696981248624,-0.31945427776773144
20,1.3811834786034731,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.4174732656293047,-0.4029799608760329,-0.4101347639176795,-0.40954497238833537,-0.5441623402105203,0.057969212161628175,-0.2964137230767646,0.7977600149938229,-0.23057082694660033,-0.5239225280457325,-0.7248351829560002,0.4847512482513458,0.09143139942024087,-0.38391181450150985,-0.4023629400020124,-0.42524459627563704,-0.42953524562881146,-0.4337170153830409,-0.2617087369716298,-0.20935051831011475,-0.325461962068718,-0.27754997573062473,0.5363558289222565,0.07120998387834314,1.088503911932328,1.088503911932328,-0.4662810237024524,1.1218262927805396,-0.00013651877737468285,-0.017439730669292698,3,3,65,3,0.0017475000000000001,8.070000000000001e-05,0.046153846,-0.27754997573062473,0.5363558289222565,0.07120998387834314,1.088503911932328,1.088503911932328,-0.4662810237024524,1.1218262927805396,-0.00013651877737468285,-0.017439730669292698
22,-0.512802959404011,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.3183373080042178,-0.31516421090734714,-0.31676383307469524,-0.3153658631149345,-0.3498418187830923,-0.13118991640843736,-0.25382739141146604,0.5127502270024199,0.7381232898525669,0.35713881909400474,1.1595860186825213,0.17506417108827277,-0.07969213932458646,-0.309101751390063,-0.29743224840179605,-0.32408992149354615,-0.33731350165644625,-0.38395230398024166,-0.2501657841289199,-0.1608718300791141,-0.28683669980639154,-0.2279437987816018,-0.5505015830137354,-0.8892068958821873,-0.6506893138824925,-0.6506893138824925,-0.4662810237024524,0.38903347186045223,-0.3038334813139359,-0.5722374401721341,3,3,111,3,0.0013668439999999999,3.69e-05,0.027027027,-0.2279437987816018,-0.5505015830137354,-0.8892068958821873,-0.6506893138824925,-0.6506893138824925,-0.4662810237024524,0.38903347186045223,-0.3038334813139359,-0.5722374401721341
23,-0.3562898898755145,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.4200423622812316,-0.42886906241921335,-0.4246102448681982,-0.4252659611815337,-0.49927619871148243,-0.1791211698091012,-0.04025693810999368,-0.13384774930558593,-0.020700001254652715,0.025067880317715584,-0.5209684146115298,0.19910792209421493,-0.48376007136436067,-0.4145847818852246,-0.40586040290860154,-0.4431993159032465,-0.4356277228324157,-0.4434260589837755,-0.26349179472782075,-0.208418235844134,-0.3123625518120052,0.3297919749452472,0.3975104423630959,0.06626606417082084,0.3700642919595515,0.3700642919595515,-0.4662810237024524,0.8059584342814796,-0.01177872011656286,0.11857258886623588,3,3,32,2,0.000873529,5.4600000000000006e-05,0.0625,0.3297919749452472,0.3975104423630959,0.06626606417082084,0.3700642919595515,0.3700642919595515,-0.4662810237024524,0.8059584342814796,-0.01177872011656286,0.11857258886623588
24,-0.49574053037021204,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.2541797625354911,-0.24718148159129094,-0.2506439621705534,-0.2481370203441593,-0.2546171837808665,-0.1325444953088909,-0.2191195311042477,-0.6512602872503973,-0.4635606451187909,-1.0588105953969107,-0.320977475469893,-0.0887581497798842,-0.4291006844522609,-0.25357274082125986,-0.2603754721580519,-0.2474845112081111,-0.19722825526946433,-0.2097054586820333,-0.24534840001570216,-0.06018532375318966,-0.2581651112875172,0.04258280720562504,2.0232645632475594,1.9637669854092772,2.390391936958272,2.390391936958272,-0.4662810237024524,1.0321677619462257,-0.21583905446937532,-0.26915538197115896,1,0,146,10,0.0014276220000000001,9.779999999999999e-05,0.068493151,0.04258280720562504,2.0232645632475594,1.9637669854092772,2.390391936958272,2.390391936958272,-0.4662810237024524,1.0321677619462257,-0.21583905446937532,-0.26915538197115896
25,-0.6144572571584832,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.48055587526040505,-0.4794772822186338,-0.48007546709598115,-0.48146400984404086,-0.5354377620035807,-0.3126383650836135,-0.3034404678015389,1.0073434920071433,1.1593860359811858,0.3979967614303296,0.5631743631084979,0.7749812711408579,-1.010492386091121,-0.465517054886578,-0.4614931980920118,-0.4989237425938249,-0.5030622650312131,-0.49558285359255283,-0.26521228905396993,-0.21960562543590337,-0.3274495667313256,0.4498809469305914,0.31664873338303345,0.14458896964963625,0.8143867094412734,0.8143867094412734,-0.4662810237024524,0.468729856133852,0.2385425344563293,1.4431456666378262,3,3,6,0,0.000368053,0.0,0,0.4498809469305914,0.31664873338303345,0.14458896964963625,0.8143867094412734,0.8143867094412734,-0.4662810237024524,0.468729856133852,0.2385425344563293,1.4431456666378262
26,-0.5855551089623359,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.44120784892409376,-0.4426666186268769,-0.4420171357039883,-0.44311589051867434,-0.48894199491288415,-0.322289739749345,-0.26873260749432054,1.1197092202803627,0.7756810207401862,-0.09731633437458134,0.25331278894828335,0.7757495838780379,-0.5168471574960833,-0.42312608830346066,-0.42295306209411115,-0.4672782879765947,-0.4618337206670968,-0.46026444861017035,-0.2643989644634267,-0.21028280077609554,-0.26638158725498934,0.5549666603231326,0.5118111245460675,-0.020572015449670744,0.2872195752999106,0.2872195752999106,-0.4662810237024524,1.237579430806054,0.06844561738781339,0.017255432111879167,3,3,136,0,0.004336458,0.0,0,0.5549666603231326,0.5118111245460675,-0.020572015449670744,0.2872195752999106,0.2872195752999106,-0.4662810237024524,1.237579430806054,0.06844561738781339,0.017255432111879167
28,3.928725028613415,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.5033230163013305,-0.4998875633476393,-0.5016426443129329,-0.5034005262023121,-0.589777906977677,-0.24229143583986743,-0.3108930758429661,0.9127934641151314,0.4173585821655786,0.6876390450670976,0.8910010822601916,0.7099276427673075,-1.147583434115885,-0.48279952587815667,-0.47978343212491376,-0.5222815996181015,-0.5451671246095463,-0.5247099843947567,-0.26590048678442957,-0.21960562543590337,-0.33280201393299313,1.5366039832499487,-0.32333180183207455,-0.09413962897537069,0.7163089642878903,0.7163089642878903,-0.4662810237024524,-0.5796072555449235,0.9650172520772942,-0.9648776641871839,3,3,61,1,0.007520651,0.000123289,0.016393443,1.5366039832499487,-0.32333180183207455,-0.09413962897537069,0.7163089642878903,0.7163089642878903,-0.4662810237024524,-0.5796072555449235,0.9650172520772942,-0.9648776641871839
30,-0.4716737231367919,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.2643164074843073,-0.2523201306533158,-0.2582303667479658,-0.2565576191495096,-0.3066549529086662,0.0026528987940685586,-0.21954539442090068,-0.8793389449068784,-0.44716934486218407,-0.4171589173423492,0.4062653564631284,0.09252446110599168,-0.008267837203785372,-0.24368502156862207,-0.26269577342487466,-0.26471811578664894,-0.2359947711745898,-0.25210630609780194,-0.24071870619260982,-0.17392378460284505,-0.2657086187471773,0.06506818582236333,2.1439120995890018,2.5076793757503695,1.917899217207846,1.917899217207846,1.628829802113291,0.2880954160698176,-0.10424421026893882,-0.04498201926220847,1,0,97,4,0.000916114,3.78e-05,0.041237113,0.06506818582236333,2.1439120995890018,2.5076793757503695,1.917899217207846,1.917899217207846,1.628829802113291,0.2880954160698176,-0.10424421026893882,-0.04498201926220847
31,-0.5972297410159504,1.389089942077683,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,-0.3857895318152691,-0.38487872165253106,-0.3853809283784085,-0.3869015281355239,-0.3991778619178042,-0.31508702694212565,-0.16141505169776812,0.9560835178518559,-0.12685429373676702,0.17224740817782463,0.5971793666747987,0.6321560364002321,-0.6806619071063366,-0.37980946289669204,-0.3813441405497675,-0.39054746637827764,-0.35471461805304183,-0.39549058767966544,-0.26058259523087757,-0.17485606706882584,-0.28045132419738455,-0.36094396097125653,0.15063332873309898,-0.3830384309119688,-0.429257828964169,-0.429257828964169,-0.4662810237024524,1.075804531601865,0.1417646651322288,-0.18488385941227653,3,3,50,2,0.0009685039999999999,3.87e-05,0.04,-0.36094396097125653,0.15063332873309898,-0.3830384309119688,-0.429257828964169,-0.429257828964169,-0.4662810237024524,1.075804531601865,0.1417646651322288,-0.18488385941227653
32,0.3377002857170591,-0.35420378971058225,-0.17540692716898842,-1.0908027472264992,-0.8461322147704862,0.16953519755262028,1.6455644697173342,1.1496165705750314,1.2621948866784392,1.2072614302856544,1.242681464824192,0.8266559386684486,3.263397832925263,0.05598817145358109,0.4219395921137157,0.2823593189637786,0.4042695171474224,0.17835620653724993,0.4199570954183703,-0.6019088029967439,1.1195790109636805,1.1461353596890607,1.2872677830138528,1.2706414578400012,1.4206165051727242,0.020108233651605238,0.007871296263407377,0.08813196248821112,-0.3411891487481381,1.8733701567379364,1.9336397248065347,1.412626132401907,1.412626132401907,3.41095277173928,0.7379554535969013,-0.4570794766205044,-0.7417752516367733,0,1,992,48,0.001506287,7.290000000000001e-05,0.048387097,-0.3411891487481381,1.8733701567379364,1.9336397248065347,1.412626132401907,1.412626132401907,3.41095277173928,0.7379554535969013,-0.4570794766205044,-0.7417752516367733
